component,scanner_class,api_refs_count,default_consts_count,state_setters_count,useeffect_updates,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
components/ACOSDashboard.tsx,FULLY_WIRED,51,0,49,"setActiveTab; setTimeout; setInterval",FULLY_WIRED,components/ACOSDashboard.tsx:1-2400,"const [dashboardData; systems] = await Promise.all([api.acos.getGoals().catch(() => [])...]); 50+ api.acos.* calls drive all state",2026-05-25T17:00:00Z,component_chunk_01
components/AIComplianceCopilot.tsx,FULLY_WIRED,6,0,12,setSuggestions,FULLY_WIRED,components/AIComplianceCopilot.tsx:520-600,"const aiResult = await api.ai.complianceCopilot(text; conversationHistory; { currentView: currentView || 'copilot'; activeFramework: undefined })",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/AgenticVendorRisk.tsx,FULLY_WIRED,2,0,19,,PARTIALLY_WIRED,components/AIFeatures/AgenticVendorRisk.tsx:125-490,"const VENDORS: Vendor[] = [...]; const ASSESSMENT_QUEUE: AssessmentQueue[] = [...]; UI reads VENDORS.filter directly; only setAiAssessmentResult updated by api.ai.agenticVendorRisk",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/AuditSimulator.tsx,FULLY_WIRED,6,0,29,"setInterviewLoading; setInterviewError; setInterviewQuestions",DEV_FALLBACK,components/AIFeatures/AuditSimulator.tsx:261-490,"const MOCK_INTERVIEW_QUESTIONS = [...]; useState(MOCK_INTERVIEW_QUESTIONS); api.ai.auditSimulation called; on empty/fail; keeps MOCK_INTERVIEW_QUESTIONS as initial state",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/BCPGenerator.tsx,FULLY_WIRED,2,0,6,,FULLY_WIRED,components/AIFeatures/BCPGenerator.tsx:1-249,"const result = await api.ai.generateBCP(scenario; rto; rpo); DISASTER_SCENARIOS array is just dropdown options not data",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/ContractAnalyzer.tsx,FULLY_WIRED,1,0,6,,FULLY_WIRED,components/AIFeatures/ContractAnalyzer.tsx:1-291,"const result = await analyzeContract(text); also fetch('/api/contracts/extract-text'; { method: 'POST'; body: formData; credentials: 'include' })",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/CrossFrameworkMapper.tsx,FULLY_WIRED,2,0,14,,PARTIALLY_WIRED,components/AIFeatures/CrossFrameworkMapper.tsx:62-470,"const FRAMEWORKS = [...]; const CONTROLS_DB = [...]; const PREBUILT_MAPPINGS = [...]; AI call exists but framework/control catalog is entirely static",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/DataMapper.tsx,FULLY_WIRED,4,0,7,"setCreatedDate; setLastUpdateDate",FULLY_WIRED,components/AIFeatures/DataMapper.tsx:1-152,"const result = await api.ai.generateDataMap(process) as any; setMap; setPiiIdentified; setCrossBorderTransfers; setRetentionPeriods all from API",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/EvidenceCompletenessChecker.tsx,FULLY_WIRED,2,0,18,,PARTIALLY_WIRED,components/AIFeatures/EvidenceCompletenessChecker.tsx:101-720,"const FRAMEWORK_READINESS = [...]; const EVIDENCE_GAPS = [...]; const RECOMMENDATIONS = [...]; dashboard renders these constants; only setAiSummary updated by api.ai.evidenceCompleteness",2026-05-25T17:00:00Z,component_chunk_01
components/AIFeatures/EvidenceDetailPanel.tsx,FULLY_WIRED,8,0,14,,FULLY_WIRED,components/AIFeatures/EvidenceDetailPanel.tsx:93-100,"const [a; p; h] = await Promise.allSettled([api.acos.getEvidenceAnalysis(evidenceId); api.acos.getProvenance(evidenceId); api.acos.getAnalysisHistory(evidenceId)])",2026-05-25T17:00:00Z,component_chunk_01
