call_number,file,line,call_type,hint_from_scanner,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
1,./server/src/controllers/authController.ts,82,fetch,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/controllers/authController.ts:50-98,"const verifyUrl = isHCaptcha ? 'https://api.hcaptcha.com/siteverify' : 'https://www.google.com/recaptcha/api/siteverify';",2026-05-25T00:00:00Z,F7_chunk_01
2,./server/src/controllers/integrationsController.ts,817,axios.post,CONSTANT_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/controllers/integrationsController.ts:802-855,"const tokenUrl = `https://login.microsoftonline.com/${tenantId}/oauth2/v2.0/token`;",2026-05-25T00:00:00Z,F7_chunk_01
3,./server/src/controllers/integrationsController.ts,833,axios.get,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/controllers/integrationsController.ts:830-845,"const subResponse = await axios.get(`https://management.azure.com/subscriptions/${subscriptionId}?api-version=2022-12-01`;",2026-05-25T00:00:00Z,F7_chunk_01
4,./server/src/graphql/index.ts,382,fetch,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/graphql/index.ts:330-395,"const res = await fetch('/api/graphql'; { method: 'POST'; headers; body: JSON.stringify({ query }) });",2026-05-25T00:00:00Z,F7_chunk_01
5,./server/src/services/advanced/byokService.ts,186,axios.create,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/byokService.ts:170-199,"if (!isUrlSafe(vaultUrl)) { throw new AppError('Invalid Vault URL for security reasons (SSRF protection)'; 403); }",2026-05-25T00:00:00Z,F7_chunk_01
6,./server/src/services/advanced/complianceAsCodeService.ts,164,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:70-188,"this.opaEndpoint = process.env.OPA_ENDPOINT || 'http://localhost:8181'; ... `${this.opaEndpoint}/v1/compile`",2026-05-25T00:00:00Z,F7_chunk_01
7,./server/src/services/advanced/complianceAsCodeService.ts,195,axios.put,DYNAMIC_URL_NO_VALIDATION,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:190-216,"await axios.put(`${this.opaEndpoint}/v1/policies/${policyId}`; rego;",2026-05-25T00:00:00Z,F7_chunk_01
8,./server/src/services/advanced/complianceAsCodeService.ts,230,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:218-250,"const response = await axios.post(`${this.opaEndpoint}/v1/data/compliance/${policyId}`; { input };",2026-05-25T00:00:00Z,F7_chunk_01
9,./server/src/services/advanced/complianceAsCodeService.ts,565,axios.post,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:545-590,"await axios.post(`https://api.github.com/repos/${owner}/${repo}/check-runs`;",2026-05-25T00:00:00Z,F7_chunk_01
10,./server/src/services/advanced/complianceAsCodeService.ts,608,axios.post,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:590-625,"await axios.post(`https://gitlab.com/api/v4/projects/${projectId}/statuses/${commitSha}`;",2026-05-25T00:00:00Z,F7_chunk_01
11,./server/src/services/advanced/complianceAsCodeService.ts,1186,axios.delete,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:1177-1195,"await axios.delete(`${this.opaEndpoint}/v1/policies/${policyId}`; { headers: ... });",2026-05-25T00:00:00Z,F7_chunk_01
12,./server/src/services/advanced/complianceAsCodeService.ts,1190,axios.delete,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/complianceAsCodeService.ts:1185-1195,"await axios.delete(`${this.opaEndpoint}/v1/policies/${policyId}`).catch(() => { logger.warn('OPA server not available...'); });",2026-05-25T00:00:00Z,F7_chunk_01
13,./server/src/services/advanced/multimodalIntakeService.ts,375,axios.post,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/multimodalIntakeService.ts:358-395,"const pyannoteServiceUrl = process.env.PYANNOTE_SERVICE_URL; ... await axios.post(`${pyannoteServiceUrl}/diarize`; formData;",2026-05-25T00:00:00Z,F7_chunk_01
14,./server/src/services/advanced/physicalAIService.ts,2696,axios.get,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/physicalAIService.ts:2687-2710,"const firmwareRegistry = process.env.FIRMWARE_REGISTRY_URL; ... await axios.get(`${firmwareRegistry}/firmware/${safeDeviceType}/latest`;",2026-05-25T00:00:00Z,F7_chunk_01
15,./server/src/services/advanced/physicalAIService.ts,2719,axios.get,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/physicalAIService.ts:2711-2733,"const nvdUrl = nvdApiKey ? `https://services.nvd.nist.gov/rest/json/cves/2.0?keywordSearch=${encodeURIComponent(deviceType)}&resultsPerPage=1` : null;",2026-05-25T00:00:00Z,F7_chunk_01
16,./server/src/services/advanced/physicalAIService.ts,2746,axios.get,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/physicalAIService.ts:2736-2780,"const manufacturerApis: Record<string; string> = { 'raspberry-pi': 'https://downloads.raspberrypi.org/...'; 'arduino': 'https://api.github.com/...'; ... };",2026-05-25T00:00:00Z,F7_chunk_01
17,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,117,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:104-128,"const { isUrlSafe } = await import('../../utils/urlValidator'); if (!isUrlSafe(input.url)) { throw new AppError('URL is not allowed for security reasons (SSRF protection)'; 403); }",2026-05-25T00:00:00Z,F7_chunk_01
18,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2397,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2386-2406,"const { isUrlSafe } = await import('../../utils/urlValidator'); if (!isUrlSafe(feed.url)) { throw new AppError('Feed URL is not allowed for security reasons (SSRF protection)'; 403); }",2026-05-25T00:00:00Z,F7_chunk_01
19,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2566,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2539-2570,"const { isUrlSafe } = await import('../../utils/urlValidator'); if (!isUrlSafe(feed.url)) { throw new AppError('Feed URL is not allowed for security reasons (SSRF protection)'; 403); }",2026-05-25T00:00:00Z,F7_chunk_01
20,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2600,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2589-2605,"const { isUrlSafe } = await import('../../utils/urlValidator'); if (!isUrlSafe(feed.url)) { throw new AppError('Feed URL is not allowed for security reasons (SSRF protection)'; 403); }",2026-05-25T00:00:00Z,F7_chunk_01
21,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2667,axios.get,VALIDATED,SAFE_VALIDATED,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:2657-2672,"const { isUrlSafe } = await import('../../utils/urlValidator'); if (!isUrlSafe(item.url)) { logger.warn(`[RIF] Blocked SSRF attempt: ${item.url}`); return null; }",2026-05-25T00:00:00Z,F7_chunk_01
22,./server/src/services/advanced/whisperService.ts,533,axios.post,ENV_URL_SAFE,SAFE_ENV_NO_OVERRIDE,server/src/services/advanced/whisperService.ts:521-545,"const pyannoteServiceUrl = process.env.PYANNOTE_SERVICE_URL; ... const response = await axios.post(`${pyannoteServiceUrl}/diarize`; formData;",2026-05-25T00:00:00Z,F7_chunk_01
23,./server/src/services/advanced/zeroTrustService.ts,524,axios.get,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/zeroTrustService.ts:519-535,"const response = await axios.get('https://api.abuseipdb.com/api/v2/check'; { params: { ipAddress; ... }; headers: { 'Key': abuseIPDBKey; ... } });",2026-05-25T00:00:00Z,F7_chunk_01
24,./server/src/services/advanced/zeroTrustService.ts,574,axios.get,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/advanced/zeroTrustService.ts:569-580,"const response = await axios.get(`https://www.virustotal.com/vtapi/v2/ip-address/report`; { params: { apikey: virusTotalKey; ip: ipAddress } });",2026-05-25T00:00:00Z,F7_chunk_01
25,./server/src/services/euRegulations/euAiDatabaseClient.ts,61,axios.post,DYNAMIC_URL_NO_VALIDATION,SAFE_ENV_NO_OVERRIDE,server/src/services/euRegulations/euAiDatabaseClient.ts:28-108,"const { euAiDb } = config; ... const url = `${euAiDb.apiBaseUrl.replace(/\/+$/; '')}/systems`; const response = await axios.post<EUAIRegistrationResponse>( url;",2026-05-25T00:00:00Z,F7_chunk_01
026,./server/src/services/integrations/azureDevOpsService.ts,167,unknown,DYNAMIC_URL_NO_VALIDATION,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/azureDevOpsService.ts:130-170,"const baseURL = `https://dev.azure.com/${encodeURIComponent(adoConfig.organization)}`; ... client: axios.create({ baseURL; headers; timeout: 30000 }); host is literal 'dev.azure.com' and only path is encoded org name from DB",2026-05-25T00:00:00Z,F7_chunk_02
027,./server/src/services/integrations/azureDevOpsService.ts,223,axios.post,ENV_URL_SAFE,SAFE_CONSTANT_NO_OVERRIDE,server/src/services/integrations/azureDevOpsService.ts:197-227,"const tokenUrl = config.tenantId ? `https://login.microsoftonline.com/${config.tenantId}/oauth2/v2.0/token` : 'https://app.vssps.visualstudio.com/oauth2/token'; tokenUrl host is one of two hardcoded Microsoft hosts",2026-05-25T00:00:00Z,F7_chunk_02
