site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,server/src/controllers/authController.ts,1098,logSecurityEvent message (failed pw verify),NOT_APPLICABLE,not-auth-event,ABSENT,failure branch message string,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
2,server/src/controllers/authController.ts,1132,logSecurityEvent message (changed pw),GAP_HIGH,password-change-handler,ABSENT,changePassword updates passwordHash and logs audit but does NOT call tokenBlacklist.revoke or prisma.session.deleteMany,GAP_HIGH,2026-05-28T15:55:00Z,subagent-cov15-6
3,server/src/controllers/authController.ts,1249,logout(req; res),SESSION_REVOKED_VERIFIED,logout-handler,server/src/controllers/authController.ts:1256,handler calls tokenBlacklist.revoke,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
4,server/src/controllers/authController.ts,1256,tokenBlacklist.revoke(accessToken; 'logout'),SESSION_REVOKED_VERIFIED,logout-handler,server/src/controllers/authController.ts:1256,tokenBlacklist.revoke(accessToken; 'logout'),NONE,2026-05-28T15:55:00Z,subagent-cov15-6
5,server/src/controllers/authController.ts,1262,tokenBlacklist.revoke(refreshToken; 'logout'),SESSION_REVOKED_VERIFIED,logout-handler,server/src/controllers/authController.ts:1262,tokenBlacklist.revoke(refreshToken; 'logout'),NONE,2026-05-28T15:55:00Z,subagent-cov15-6
6,server/src/controllers/authController.ts,1273,sessionManagement.terminateSession(sessionId; 'logout'),SESSION_REVOKED_VERIFIED,logout-handler,server/src/controllers/authController.ts:1273,sessionManagement.default.terminateSession(sessionId; 'logout'),NONE,2026-05-28T15:55:00Z,subagent-cov15-6
7,server/src/controllers/authController.ts,1287,throw AppError('Failed to logout'),NOT_APPLICABLE,not-auth-event (error throw),ABSENT,error throw inside logout catch,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
8,server/src/controllers/authController.ts,1292,JSDoc forgotPassword,NOT_APPLICABLE,not-auth-event (comment),ABSENT,forgotPassword only emails reset link,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
9,server/src/controllers/authController.ts,1324,res.json reset-link-sent,NOT_APPLICABLE,not-auth-event,ABSENT,forgotPassword response,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
10,server/src/routes/auth.ts,16,router.post(/logout),SESSION_REVOKED_VERIFIED,logout-handler,server/src/controllers/authController.ts:1256,route binds to authController.logout which revokes tokens,NONE,2026-05-28T15:55:00Z,subagent-cov15-6
11,server/src/routes/auth.ts,18,router.post(/reset-password),GAP_HIGH,password-reset-handler,ABSENT,resetPassword updates passwordHash but never invalidates existing JWTs/sessions,GAP_HIGH,2026-05-28T15:55:00Z,subagent-cov15-6
12,server/src/routes/auth.ts,33,router.patch(/password changePassword),GAP_HIGH,password-change-handler,ABSENT,changePassword updates passwordHash without tokenBlacklist.revoke,GAP_HIGH,2026-05-28T15:55:00Z,subagent-cov15-6
