op_number,file,line,model,operation,hint_from_scanner,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
001,./server/src/services/advanced/acosService.ts,157,complianceGoal,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:89-204,"const goalData: any = { id: goalId; organizationId; goalType: goal.goalType",2026-05-25T17:00:00Z,L7_chunk_01
002,./server/src/services/advanced/acosService.ts,170,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:170-178,"data: { action: 'acos.goal_created'; details: JSON.stringify(createdGoal); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
003,./server/src/services/advanced/acosService.ts,273,controlLoop,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:209-308,"data: { id: loopId; organizationId; controlId;",2026-05-25T17:00:00Z,L7_chunk_01
004,./server/src/services/advanced/acosService.ts,296,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:296-304,"data: { action: 'acos.control_loop_created'; details: JSON.stringify(createdLoop); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
005,./server/src/services/advanced/acosService.ts,483,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:346-608,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
006,./server/src/services/advanced/acosService.ts,549,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:346-608,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
007,./server/src/services/advanced/acosService.ts,568,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:346-608,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
008,./server/src/services/advanced/acosService.ts,595,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:346-608,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
009,./server/src/services/advanced/acosService.ts,661,frameworkControl,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/acosService.ts:346-678,"control passed from executeControlLoop where prisma.controlLoop.findFirst({ where: { id: loopId; organizationId }; include: { control } }) verified parent",2026-05-25T17:00:00Z,L7_chunk_01
010,./server/src/services/advanced/acosService.ts,715,complianceDebt,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:697-762,"data: { id: debtId; organizationId; frameworkId: debt.frameworkId;",2026-05-25T17:00:00Z,L7_chunk_01
011,./server/src/services/advanced/acosService.ts,730,auditLog,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:730-743,"userId; organizationId; hash: crypto.randomBytes(16).toString('hex'),",2026-05-25T17:00:00Z,L7_chunk_01
012,./server/src/services/advanced/acosService.ts,903,changeImpact,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:852-935,"data: { id: impactId; organizationId; changeType: change.changeType;",2026-05-25T17:00:00Z,L7_chunk_01
013,./server/src/services/advanced/acosService.ts,919,auditLog,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:919-933,"userId; organizationId; hash: crypto.randomBytes(16).toString('hex'),",2026-05-25T17:00:00Z,L7_chunk_01
014,./server/src/services/advanced/acosService.ts,1198,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1179-1222,"userId; organizationId; hash: (await import('crypto')).randomBytes(16).toString('hex'),",2026-05-25T17:00:00Z,L7_chunk_01
015,./server/src/services/advanced/acosService.ts,1209,changeImpact,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1179-1222,"const impact = await prisma.changeImpact.findFirst({ where: { id: impactId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
016,./server/src/services/advanced/acosService.ts,1427,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1390-1466,"const existingLoop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
017,./server/src/services/advanced/acosService.ts,1433,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1433-1441,"action: 'acos.control_loop_updated'; details: JSON.stringify({ loopId; updates }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
018,./server/src/services/advanced/acosService.ts,1488,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1471-1527,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
019,./server/src/services/advanced/acosService.ts,1494,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1494-1502,"action: 'acos.control_loop_paused'; details: JSON.stringify({ loopId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
020,./server/src/services/advanced/acosService.ts,1549,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1532-1588,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
021,./server/src/services/advanced/acosService.ts,1555,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1555-1563,"action: 'acos.control_loop_resumed'; details: JSON.stringify({ loopId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
022,./server/src/services/advanced/acosService.ts,1620,controlLoop,.delete(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1593-1640,"const loop = await prisma.controlLoop.findFirst({ where: { id: loopId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
023,./server/src/services/advanced/acosService.ts,1625,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1625-1633,"action: 'acos.control_loop_deleted'; details: JSON.stringify({ loopId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
024,./server/src/services/advanced/acosService.ts,1781,complianceGoal,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1724-1821,"const existingGoal = await prisma.complianceGoal.findFirst({ where: { id: goalId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
025,./server/src/services/advanced/acosService.ts,1787,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1787-1795,"action: 'acos.goal_updated'; details: JSON.stringify({ goalId; updates }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
026,./server/src/services/advanced/acosService.ts,1799,complianceGoal,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1724-1821,"const existingGoal = await prisma.complianceGoal.findFirst({ where: { id: goalId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
027,./server/src/services/advanced/acosService.ts,1838,complianceGoal,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1823-1859,"const goal = await prisma.complianceGoal.findFirst({ where: { id: goalId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
028,./server/src/services/advanced/acosService.ts,1844,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1844-1852,"action: 'acos.goal_deleted'; details: JSON.stringify({ goalId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
029,./server/src/services/advanced/acosService.ts,1876,complianceGoal,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:1861-1907,"const goal = await prisma.complianceGoal.findFirst({ where: { id: goalId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
030,./server/src/services/advanced/acosService.ts,1882,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:1882-1890,"action: 'acos.goal_restored'; details: JSON.stringify({ goalId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
031,./server/src/services/advanced/acosService.ts,1925,controlLoop,.update(,ORG_IN_FUNC_NOT_IN_WRITE,GAP_HIGH,server/src/services/advanced/acosService.ts:1912-1952,"const updated = await prisma.controlLoop.update({ where: { id: loopId }; data: { ...updates; updatedAt: new Date() } }); -- organizationId parameter is unused; no prior findFirst with organizationId",2026-05-25T17:00:00Z,L7_chunk_01
032,./server/src/services/advanced/acosService.ts,2093,complianceDebt,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/acosService.ts:2071-2122,"const debt = await prisma.complianceDebt.findFirst({ where: { id: debtId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
033,./server/src/services/advanced/acosService.ts,2102,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:2102-2110,"action: 'acos.debt_resolved'; details: JSON.stringify({ debtId; frameworkId: debt.frameworkId }); userId; organizationId;",2026-05-25T17:00:00Z,L7_chunk_01
034,./server/src/services/advanced/acosService.ts,2153,complianceFramework,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/acosService.ts:2127-2163,"private recalculateComplianceScore called only from resolveComplianceDebt (line 2113) with debt.frameworkId after debt was verified via findFirst({ id: debtId; organizationId })",2026-05-25T17:00:00Z,L7_chunk_01
035,./server/src/services/advanced/acosService.ts,2312,controlLoop,.updateMany(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:2298-2328,"await prisma.controlLoop.updateMany({ where: { controlId; organizationId }; data: { confidence: calculatedConfidence;",2026-05-25T17:00:00Z,L7_chunk_01
036,./server/src/services/advanced/acosService.ts,2340,controlLoopHistory,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/acosService.ts:2330-2355,"data: { loopId; organizationId; executionPhase; phaseResult; durationMs; success;",2026-05-25T17:00:00Z,L7_chunk_01
037,./server/src/services/advanced/agenticAIService.ts,469,agenticAction,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/agenticAIService.ts:401-513,"data: { id: actionId; organizationId; actionType: action.actionType; targetId: action.targetId;",2026-05-25T17:00:00Z,L7_chunk_01
038,./server/src/services/advanced/agenticAIService.ts,529,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:518-630,"executeActionInternal receives agenticAction created by executeAction at line 469 with organizationId in data; update by id continues same org-bound record",2026-05-25T17:00:00Z,L7_chunk_01
039,./server/src/services/advanced/agenticAIService.ts,568,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:518-630,"agenticAction was created with organizationId in data at line 469; subsequent updates within executeActionInternal scope target same record",2026-05-25T17:00:00Z,L7_chunk_01
040,./server/src/services/advanced/agenticAIService.ts,580,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:518-630,"agenticAction.id originates from org-scoped prisma.agenticAction.create at line 469 with organizationId in data",2026-05-25T17:00:00Z,L7_chunk_01
041,./server/src/services/advanced/agenticAIService.ts,588,agenticAction,.update(,ORG_SCOPED,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:518-630,"agenticAction.id originates from org-scoped prisma.agenticAction.create at line 469 with organizationId in data",2026-05-25T17:00:00Z,L7_chunk_01
042,./server/src/services/advanced/agenticAIService.ts,596,auditLog,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/agenticAIService.ts:596-609,"userId; organizationId; hash: (await import('crypto')).randomBytes(16).toString('hex'),",2026-05-25T17:00:00Z,L7_chunk_01
043,./server/src/services/advanced/agenticAIService.ts,623,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:518-630,"agenticAction.id originates from org-scoped prisma.agenticAction.create at line 469 with organizationId in data",2026-05-25T17:00:00Z,L7_chunk_01
044,./server/src/services/advanced/agenticAIService.ts,691,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:677-699,"createCheckpoint receives agenticAction from executeActionInternal where action was created with organizationId in data at line 469",2026-05-25T17:00:00Z,L7_chunk_01
045,./server/src/services/advanced/agenticAIService.ts,742,frameworkControl,.update(,ORG_SCOPED,GAP_HIGH,server/src/services/advanced/agenticAIService.ts:735-757,"await prisma.frameworkControl.update({ where: { id: agenticAction.targetId }; ... }) -- no findFirst/findUnique check that targetId belongs to organizationId before update",2026-05-25T17:00:00Z,L7_chunk_01
046,./server/src/services/advanced/agenticAIService.ts,770,policy,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/agenticAIService.ts:762-786,"data: { organizationId; title: title as string; content: content as string;",2026-05-25T17:00:00Z,L7_chunk_01
047,./server/src/services/advanced/agenticAIService.ts,806,riskItem,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:791-820,"const riskRecord = await prisma.riskItem.findFirst({ where: { id: agenticAction.targetId; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
048,./server/src/services/advanced/agenticAIService.ts,896,agenticAction,.update(,ORG_SCOPED,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:825-938,"const dbAction = await prisma.agenticAction.findFirst({ where: { id: agenticAction; organizationId } });",2026-05-25T17:00:00Z,L7_chunk_01
049,./server/src/services/advanced/agenticAIService.ts,908,auditLog,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/agenticAIService.ts:908-920,"userId; organizationId; hash: (await import('crypto')).randomBytes(16).toString('hex'),",2026-05-25T17:00:00Z,L7_chunk_01
050,./server/src/services/advanced/agenticAIService.ts,1017,frameworkControl,.update(,ORG_IN_FUNC_NOT_IN_WRITE,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:1000-1062,"const controlRecord = await prisma.frameworkControl.findFirst({ where: { id: action.targetId; framework: { organizationId } } });",2026-05-25T17:00:00Z,L7_chunk_01
051,./server/src/services/advanced/agenticAIService.ts,1035,riskItem,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:1000-1062,"const riskRecord = await prisma.riskItem.findFirst({ where: { id: action.targetId; organizationId } });",2026-05-25T00:00:00Z,L7_chunk_02
052,./server/src/services/advanced/agenticAIService.ts,1052,policy,.delete(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:1000-1062,"const policyRecord = await prisma.policy.findFirst({ where: { id: action.targetId; organizationId } });",2026-05-25T00:00:00Z,L7_chunk_02
053,./server/src/services/advanced/agenticAIService.ts,1122,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:1103-1139,"const actions = await prisma.agenticAction.findMany({ where: { organizationId; status: { in: ['completed'; 'rolled_back'] }; ...} });",2026-05-25T00:00:00Z,L7_chunk_02
054,./server/src/services/advanced/agenticAIService.ts,1167,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:1144-1220,"const dbAction = await prisma.agenticAction.findFirst({ where: { id: actionId; organizationId; } });",2026-05-25T00:00:00Z,L7_chunk_02
055,./server/src/services/advanced/agenticAIService.ts,1201,auditLog,.create(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/agenticAIService.ts:1144-1220,"await prisma.auditLog.create({ data: { action: 'agentic_action.approved'; ... userId; organizationId; hash: ... } });",2026-05-25T00:00:00Z,L7_chunk_02
056,./server/src/services/advanced/agenticAIService.ts,1263,agenticAction,.update(,ORG_SCOPED,PARENT_ORG_VERIFIED,server/src/services/advanced/agenticAIService.ts:460-513,"await prisma.agenticAction.create({ data: { id: actionId; organizationId; ... } }); ... await this.lockAction(lockKey; organizationId; actionId);",2026-05-25T00:00:00Z,L7_chunk_02
057,./server/src/services/advanced/agenticAIService.ts,1295,agenticAction,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/agenticAIService.ts:1282-1311,"const lockedActions = await prisma.agenticAction.findMany({ where: { organizationId; status: 'executing' } });",2026-05-25T00:00:00Z,L7_chunk_02
058,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,193,knowledgeGraphEntity,.upsert(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:52-300,"prisma.knowledgeGraphEntity.upsert({ where: { organizationId_nodeKey: { organizationId; nodeKey: n.nodeKey } }; ... create: { organizationId; ... } })",2026-05-25T00:00:00Z,L7_chunk_02
059,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,219,knowledgeGraphRelationship,.upsert(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:214-236,"create: { organizationId; fromNodeId: fromId; toNodeId: toId; relationshipType: e.relationshipType; mechanism: e.mechanism; }",2026-05-25T00:00:00Z,L7_chunk_02
060,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,247,knowledgeGraphEntity,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:208-260,"const persistedNodes = await prisma.knowledgeGraphEntity.findMany({ where: { organizationId } });",2026-05-25T00:00:00Z,L7_chunk_02
061,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,286,knowledgeGraphRelationship,.update(,ORG_IN_FUNC_NOT_IN_WRITE,ORG_IN_PRIOR_findFirst,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:262-297,"const persistedEdges = await prisma.knowledgeGraphRelationship.findMany({ where: { organizationId }; include: { fromNode: true; toNode: true } });",2026-05-25T00:00:00Z,L7_chunk_02
062,./server/src/services/advanced/blockchainService.ts,278,N/A,.update(,ORG_IN_FUNC_NOT_IN_WRITE,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/blockchainService.ts:263-320,"const dataHash = crypto.createHash('sha256').update(dataToHash).digest('hex');",2026-05-25T00:00:00Z,L7_chunk_02
063,./server/src/services/advanced/blockchainService.ts,455,N/A,.update(,NO_ORG_CHECK,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/blockchainService.ts:440-470,"sign.update(Buffer.from(digest));",2026-05-25T00:00:00Z,L7_chunk_02
064,./server/src/services/advanced/blockchainService.ts,944,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:942-960,"await prisma.auditLog.create({ data: { action: `Blockchain: ${record.recordType}`; organizationId: record.organizationId; hash: record.dataHash; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
065,./server/src/services/advanced/blockchainService.ts,1928,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:1913-1952,"await prisma.auditLog.create({ data: { action: 'Blockchain: registry_certificate_issued'; organizationId: orgId; hash: certId; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
066,./server/src/services/advanced/blockchainService.ts,1963,auditLog,.create(,ORG_SCOPED,SYSTEM_LEVEL_NO_ORG_REQUIRED,server/src/services/advanced/blockchainService.ts:1905-1985,"// Fallback org for events that do not include organizationId (CertificateRevoked; CertificateRenewed; EvidenceSubmitted) ... organizationId: fallbackOrgId;",2026-05-25T00:00:00Z,L7_chunk_02
067,./server/src/services/advanced/blockchainService.ts,1996,auditLog,.create(,ORG_SCOPED,SYSTEM_LEVEL_NO_ORG_REQUIRED,server/src/services/advanced/blockchainService.ts:1985-2010,"action: 'Blockchain: registry_certificate_renewed'; organizationId: fallbackOrgId; hash: newCertId;",2026-05-25T00:00:00Z,L7_chunk_02
068,./server/src/services/advanced/blockchainService.ts,2031,auditLog,.create(,ORG_SCOPED,SYSTEM_LEVEL_NO_ORG_REQUIRED,server/src/services/advanced/blockchainService.ts:2020-2050,"action: 'Blockchain: registry_evidence_submitted'; organizationId: fallbackOrgId; hash: evidenceId;",2026-05-25T00:00:00Z,L7_chunk_02
069,./server/src/services/advanced/blockchainService.ts,2067,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:2055-2090,"action: 'Blockchain: registry_score_recorded'; organizationId: orgId; hash: `score_${orgId}_${framework}_${event.blockNumber}`;",2026-05-25T00:00:00Z,L7_chunk_02
070,./server/src/services/advanced/blockchainService.ts,2102,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:2090-2125,"action: 'Blockchain: registry_policy_change'; organizationId: orgId; hash: policyId;",2026-05-25T00:00:00Z,L7_chunk_02
071,./server/src/services/advanced/blockchainService.ts,2204,N/A,.update(,ORG_IN_FUNC_NOT_IN_WRITE,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/blockchainService.ts:2184-2305,"const evidenceHash = crypto.createHash('sha256').update(fileBuffer).digest('hex');",2026-05-25T00:00:00Z,L7_chunk_02
072,./server/src/services/advanced/blockchainService.ts,2218,N/A,.update(,ORG_IN_FUNC_NOT_IN_WRITE,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/blockchainService.ts:2184-2305,"const metadataHash = crypto.createHash('sha256').update(metadataStr).digest('hex');",2026-05-25T00:00:00Z,L7_chunk_02
073,./server/src/services/advanced/blockchainService.ts,2270,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:2184-2305,"await prisma.auditLog.create({ data: { action: 'Blockchain: evidence_anchored'; organizationId; hash: evidenceHash; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
074,./server/src/services/advanced/blockchainService.ts,2326,N/A,.update(,ORG_SCOPED,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/blockchainService.ts:2310-2390,"const currentHash = crypto.createHash('sha256').update(currentFileBuffer).digest('hex');",2026-05-25T00:00:00Z,L7_chunk_02
075,./server/src/services/advanced/blockchainService.ts,2389,auditLog,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/blockchainService.ts:2310-2410,"await prisma.auditLog.create({ data: { action: tampered ? 'Blockchain: tampering_detected' : 'Blockchain: integrity_verified'; organizationId; hash: currentHash; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
076,./server/src/services/advanced/byokService.ts,186,N/A,.create(,ORG_IN_FUNC_NOT_IN_WRITE,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/byokService.ts:174-254,"const client = axios.create({ baseURL: vaultUrl; headers: { 'X-Vault-Token': vaultToken; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
077,./server/src/services/advanced/byokService.ts,402,N/A,.update(,ORG_IN_FUNC_NOT_IN_WRITE,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/byokService.ts:384-464,"const encrypted = Buffer.concat([ cipher.update(dataBuffer); cipher.final(); ]);",2026-05-25T00:00:00Z,L7_chunk_02
078,./server/src/services/advanced/byokService.ts,469,N/A,.update(,ORG_SCOPED,NOT_PRISMA_FALSE_POSITIVE,server/src/services/advanced/byokService.ts:435-515,"const decrypted = Buffer.concat([ decipher.update(Buffer.from(encryptedPayload.ciphertext; 'base64')); decipher.final(); ]);",2026-05-25T00:00:00Z,L7_chunk_02
079,./server/src/services/advanced/byokService.ts,919,keyUsage,.create(,ORG_SCOPED,ORG_IN_WHERE_OR_DATA,server/src/services/advanced/byokService.ts:909-989,"await prisma.keyUsage.create({ data: { organizationId; keyId; provider; operation; dataSize; success; ... } });",2026-05-25T00:00:00Z,L7_chunk_02
