site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session,file_hash_at_verify
1,server/src/routes/privacy.ts,212,POST /dsar (router.post),GAP_LOW,LOW,"router.post('/dsar', authorize('admin','editor'), validateBody(createDSARSchema), asyncHandler(...)) — creates DSAR via prisma.dSARRequest.create without idempotencyKey() middleware",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
2,server/src/routes/privacy.ts,286,PATCH /dsar/:id (router.patch),GAP_LOW,LOW,"router.patch('/dsar/:id', authorize('admin','editor'), validateBody(updateDSARSchema), asyncHandler(...)) — updates DSAR via prisma.dSARRequest.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
3,server/src/routes/privacy.ts,339,POST /dsar/:id/verify-identity (router.post),GAP_LOW,LOW,"router.post('/dsar/:id/verify-identity', authorize('admin','editor'), asyncHandler(...)) — updates DSAR identityVerified=true and appends auditTrail; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
4,server/src/routes/privacy.ts,384,POST /dsar/:id/complete (router.post),GAP_LOW,LOW,"router.post('/dsar/:id/complete', authorize('admin','editor'), asyncHandler(...)) — updates DSAR status to Completed and appends auditTrail; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
5,server/src/routes/privacy.ts,470,POST /consent (router.post),GAP_LOW,LOW,"router.post('/consent', authorize('admin','editor'), validateBody(createConsentRecordSchema), asyncHandler(...)) — prisma.consentRecord.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
6,server/src/routes/privacy.ts,509,PATCH /consent/:id (router.patch),GAP_LOW,LOW,"router.patch('/consent/:id', authorize('admin','editor'), validateBody(updateConsentRecordSchema), asyncHandler(...)) — prisma.consentRecord.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
7,server/src/routes/privacy.ts,702,PUT /consent/preferences/:dataSubjectId (router.put),IDEMPOTENT_BY_DESIGN,NONE,"prisma.consentPreference.upsert({ where: { organizationId_dataSubjectId: { organizationId: user.organizationId, dataSubjectId } } }) — upsert keyed on deterministic unique composite key",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
8,server/src/routes/privacy.ts,792,POST /retention (router.post),GAP_LOW,LOW,"router.post('/retention', authorize('admin','editor'), validateBody(createRetentionPolicySchema), asyncHandler(...)) — prisma.retentionPolicy.create without idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
9,server/src/routes/privacy.ts,828,PATCH /retention/:id (router.patch),GAP_LOW,LOW,"router.patch('/retention/:id', authorize('admin','editor'), validateBody(updateRetentionPolicySchema), asyncHandler(...)) — prisma.retentionPolicy.update with org-scoped pre-check; no idempotencyKey()",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
10,server/src/routes/privacy.ts,868,DELETE /retention/:id (router.delete),IDEMPOTENT_BY_DESIGN,NONE,"router.delete('/retention/:id', authorize('admin'), asyncHandler(...)) — DELETE by unique :id is HTTP-idempotent by definition; repeat calls yield identical end state (404)",2026-05-30T00:00:00Z,session13_subagent_17,session13,e0069a82466133a26a76b55985930beef271eef8330dbc18eb7f3a90665c9f6a
