site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,./server/src/controllers/authController.ts,82,axios/fetch/got HTTP call,GAP_LOW,hardcoded captcha URL,ABSENT,fetch(verifyUrl) — hcaptcha/recaptcha literal,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
2,./server/src/controllers/integrationsController.ts,818,axios/fetch/got HTTP call,GAP_MEDIUM,constant base + tenantId from req.body,ABSENT,axios.post(`https://login.microsoftonline.com/${tenantId}/oauth2/v2.0/token`),GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-15
3,./server/src/controllers/integrationsController.ts,834,axios/fetch/got HTTP call,GAP_MEDIUM,constant base + subscriptionId from req.body,ABSENT,axios.get(`https://management.azure.com/subscriptions/${subscriptionId}`),GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-15
4,./server/src/graphql/index.ts,382,axios/fetch/got HTTP call,NOT_APPLICABLE,browser-side <script> fetch,N/A,fetch in HTML template,NONE,2026-05-28T15:55:00Z,subagent-cov2-15
5,./server/src/services/advanced/byokService.ts,186,axios/fetch/got HTTP call,NOT_APPLICABLE,axios.create (not a request),177,client = axios.create({ baseURL: vaultUrl }); validated at 177,NONE,2026-05-28T15:55:00Z,subagent-cov2-15
6,./server/src/services/advanced/complianceAsCodeService.ts,164,axios/fetch/got HTTP call,GAP_LOW,opaEndpoint env + constant path,ABSENT,axios.post(`${opaEndpoint}/v1/compile`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
7,./server/src/services/advanced/complianceAsCodeService.ts,195,axios/fetch/got HTTP call,GAP_LOW,opaEndpoint env + DB-generated policyId,ABSENT,axios.put(`${opaEndpoint}/v1/policies/${policyId}`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
8,./server/src/services/advanced/complianceAsCodeService.ts,230,axios/fetch/got HTTP call,GAP_LOW,opaEndpoint env + DB policyId,ABSENT,axios.post(`${opaEndpoint}/v1/data/compliance/${policyId}`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
9,./server/src/services/advanced/complianceAsCodeService.ts,565,axios/fetch/got HTTP call,GAP_MEDIUM,constant github base + owner/repo from webhook payload,ABSENT,axios.post(`https://api.github.com/repos/${owner}/${repo}/check-runs`),GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-15
10,./server/src/services/advanced/complianceAsCodeService.ts,608,axios/fetch/got HTTP call,GAP_MEDIUM,constant gitlab base + projectId/commitSha from webhook payload,ABSENT,axios.post(`https://gitlab.com/api/v4/projects/${projectId}/statuses/${commitSha}`),GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-15
11,./server/src/services/advanced/complianceAsCodeService.ts,1194,axios/fetch/got HTTP call,GAP_LOW,opaEndpoint env + DB policyId,ABSENT,axios.delete(`${opaEndpoint}/v1/policies/${policyId}`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
12,./server/src/services/advanced/complianceAsCodeService.ts,1198,axios/fetch/got HTTP call,GAP_LOW,opaEndpoint env + DB policyId,ABSENT,axios.delete dev-branch,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
13,./server/src/services/advanced/multimodalIntakeService.ts,375,axios/fetch/got HTTP call,GAP_LOW,pyannote env URL,ABSENT,axios.post(`${pyannoteServiceUrl}/diarize`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
14,./server/src/services/advanced/physicalAIService.ts,2696,axios/fetch/got HTTP call,GAP_LOW,firmwareRegistry env,ABSENT,axios.get firmware/latest,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
15,./server/src/services/advanced/physicalAIService.ts,2719,axios/fetch/got HTTP call,GAP_MEDIUM,NVD url + deviceType in query,ABSENT,axios.get(nvdUrl) with tainted keywordSearch,GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-15
16,./server/src/services/advanced/physicalAIService.ts,2746,axios/fetch/got HTTP call,GAP_LOW,hardcoded manufacturerApis,ABSENT,axios.get(apiUrl) from literal dict,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
17,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,117,axios/fetch/got HTTP call,WRAPPED_VERIFIED,input.url + isUrlSafe gate,113,isUrlSafe(input.url) throws AppError,NONE,2026-05-28T15:55:00Z,subagent-cov2-15
18,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2397,axios/fetch/got HTTP call,WRAPPED_VERIFIED,feed.url DB + isUrlSafe gate,2393,isUrlSafe(feed.url),NONE,2026-05-28T15:55:00Z,subagent-cov2-15
19,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2566,axios/fetch/got HTTP call,WRAPPED_VERIFIED,feed.url + isUrlSafe gate,2546,isUrlSafe(feed.url),NONE,2026-05-28T15:55:00Z,subagent-cov2-15
20,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2600,axios/fetch/got HTTP call,WRAPPED_VERIFIED,feed.url + isUrlSafe gate,2596,isUrlSafe(feed.url),NONE,2026-05-28T15:55:00Z,subagent-cov2-15
21,./server/src/services/advanced/regulatoryIntelligenceFabricService.ts,2667,axios/fetch/got HTTP call,WRAPPED_VERIFIED,item.url + isUrlSafe gate,2661,isUrlSafe(item.url),NONE,2026-05-28T15:55:00Z,subagent-cov2-15
22,./server/src/services/advanced/whisperService.ts,533,axios/fetch/got HTTP call,GAP_LOW,pyannote env URL,ABSENT,axios.post(`${pyannoteServiceUrl}/diarize`),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
23,./server/src/services/advanced/zeroTrustService.ts,524,axios/fetch/got HTTP call,GAP_LOW,fully constant abuseipdb URL,ABSENT,axios.get(constant),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
24,./server/src/services/advanced/zeroTrustService.ts,574,axios/fetch/got HTTP call,GAP_LOW,fully constant virustotal URL,ABSENT,axios.get(constant),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
25,./server/src/services/euRegulations/euAiDatabaseClient.ts,61,axios/fetch/got HTTP call,GAP_LOW,config.euAiDb.apiBaseUrl env + constant path,ABSENT,axios.post(url),GAP_LOW,2026-05-28T15:55:00Z,subagent-cov2-15
26,./server/src/services/integrations/azureDevOpsService.ts,202,axios/fetch/got HTTP call,NOT_APPLICABLE,axios.create constructor,N/A,client = axios.create({baseURL}),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
27,./server/src/services/integrations/azureDevOpsService.ts,263,axios/fetch/got HTTP call,WRAPPED_VERIFIED,tokenUrl validated,240,isUrlSafe(tokenUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
28,./server/src/services/integrations/githubService.ts,66,axios/fetch/got HTTP call,WRAPPED_VERIFIED,authBaseUrl constant + isUrlSafe,62,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
29,./server/src/services/integrations/githubService.ts,102,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + isUrlSafe,98,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
30,./server/src/services/integrations/githubService.ts,194,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + endpoint param + isUrlSafe,190,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
31,./server/src/services/integrations/jiraService.ts,69,axios/fetch/got HTTP call,WRAPPED_VERIFIED,authBaseUrl + isUrlSafe,65,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
32,./server/src/services/integrations/jiraService.ts,108,axios/fetch/got HTTP call,WRAPPED_VERIFIED,authBaseUrl + isUrlSafe,102,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
33,./server/src/services/integrations/jiraService.ts,138,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + isUrlSafe,134,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
34,./server/src/services/integrations/jiraService.ts,350,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + cloudId + isUrlSafe,346,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
35,./server/src/services/integrations/jiraService.ts,462,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + encoded cloudId + isUrlSafe,458,isUrlSafe(url),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
36,./server/src/services/integrations/jiraService.ts,815,axios/fetch/got HTTP call,WRAPPED_VERIFIED,apiBaseUrl + encoded + isUrlSafe,810,isUrlSafe(transitionsUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
37,./server/src/services/integrations/jiraService.ts,827,axios/fetch/got HTTP call,WRAPPED_VERIFIED,same transitionsUrl validated,810,isUrlSafe(transitionsUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
38,./server/src/services/integrations/jiraService.ts,841,axios/fetch/got HTTP call,WRAPPED_VERIFIED,commentUrl + isUrlSafe,837,isUrlSafe(commentUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
39,./server/src/services/integrations/patValidationService.ts,174,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant github API,N/A,axios.get literal URL,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
40,./server/src/services/integrations/patValidationService.ts,213,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl→isUrlSafe,209,validateBaseUrl(baseUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
41,./server/src/services/integrations/patValidationService.ts,246,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant bitbucket,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
42,./server/src/services/integrations/patValidationService.ts,279,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant travis,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
43,./server/src/services/integrations/patValidationService.ts,316,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant circleci,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
44,./server/src/services/integrations/patValidationService.ts,355,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,349,validateBaseUrl(baseUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
45,./server/src/services/integrations/patValidationService.ts,394,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant stripe,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
46,./server/src/services/integrations/patValidationService.ts,435,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant sendgrid,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
47,./server/src/services/integrations/patValidationService.ts,486,axios/fetch/got HTTP call,GAP_MEDIUM,constant api.twilio.com base + tainted sid path,ABSENT,axios.get(`https://api.twilio.com/2010-04-01/Accounts/${sid}.json`) — sid format-checked startsWith AC len>=34 but no isUrlSafe,GAP_MEDIUM,2026-05-28T15:55:00Z,subagent-cov2-16
48,./server/src/services/integrations/patValidationService.ts,522,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant digitalocean,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
49,./server/src/services/integrations/patValidationService.ts,557,axios/fetch/got HTTP call,WRAPPED_VERIFIED,fully constant docker hub,N/A,axios.get literal,NONE,2026-05-28T15:55:00Z,subagent-cov2-16
50,./server/src/services/integrations/patValidationService.ts,593,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,590,validateBaseUrl(baseUrl),NONE,2026-05-28T15:55:00Z,subagent-cov2-16
51,./server/src/services/integrations/patValidationService.ts,631,axios/fetch/got HTTP call,WRAPPED_VERIFIED,baseUrl validateBaseUrl,628,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
52,./server/src/services/integrations/patValidationService.ts,668,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant trello URL,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
53,./server/src/services/integrations/patValidationService.ts,702,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant asana URL,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
54,./server/src/services/integrations/patValidationService.ts,734,axios/fetch/got HTTP call,WRAPPED_VERIFIED,constant monday URL,N/A,isUrlSafe/validateBaseUrl gate,NONE,2026-05-28T15:55:00Z,subagent-cov2-17
