row_number,file,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
1,./.github/dependabot.yml,PRODUCTION_READY_INFRA,./.github/dependabot.yml:1-112,"Dependabot config; weekly schedule for npm/docker/github-actions/mobile; no secrets, no fail-open defaults, no quality gate bypass.",2026-05-25,infra-subagent
2,./.github/workflows/ci.yml,MINOR_INFRA_HYGIENE,./.github/workflows/ci.yml:1-771,"continue-on-error: true used on diagnose-alpine-build (diagnostic job), audit server deps (line 366, documented unfixable: elliptic/aws-sdk v2/serialize-javascript), and Slack notify (line 770, non-critical). All justified; image tags pinned via SHA; uses NODE_OPTIONS=4096; CodeQL/Trivy/Cosign/secret-scan present.",2026-05-25,infra-subagent
3,./.github/workflows/codeql.yml,MINOR_INFRA_HYGIENE,./.github/workflows/codeql.yml:1-102,"Uses actions/checkout@v4 while main ci.yml uses @v6 (minor version skew); CodeQL @v4 actions otherwise pinned; no continue-on-error on scan steps; no :latest tags.",2026-05-25,infra-subagent
4,./.github/workflows/dependency-scan.yml,PRODUCTION_READY_INFRA,./.github/workflows/dependency-scan.yml:1-85,"continue-on-error: true on audits (lines 33, 41) is documented as known-unfixable (elliptic/aws-sdk v2/serialize-javascript per audit-exclusions.json); creates GitHub issue when high/critical found; auto-fix attempt included. Acceptable per v10 rule.",2026-05-25,infra-subagent
5,./.github/workflows/mobile.yml,MEDIUM_INFRA_GAP,./.github/workflows/mobile.yml:153-161,"continue-on-error: true on 'Submit iOS to App Store' (line 156) and 'Submit Android to Google Play' (line 161) — store submission steps bypass deploy quality gate. Documented as 'flaky APIs, monitored separately' but a failed prod-store submission silently passes the workflow. v10 rule: CI continue-on-error on deploy/submit = MEDIUM.",2026-05-25,infra-subagent
6,./.github/workflows/scheduled-backup.yml,PRODUCTION_READY_INFRA,./.github/workflows/scheduled-backup.yml:1-119,"Daily DB backup workflow; size-check guard (>=1024 bytes); STANDARD_IA storage class; retention pruning. No continue-on-error; no :latest tags; secrets via GH secrets.",2026-05-25,infra-subagent
7,./Dockerfile,PRODUCTION_READY_INFRA,./Dockerfile:1-186,"Multi-stage; base FROM node:22-alpine pinned (line 18); nginx:1.29-alpine pinned (line 138); non-root USER complyeasy (uid 1001, line 118) and USER nginx (line 154); HEALTHCHECK on both backend (line 130) and frontend (line 158); --force-fips gated on ENABLE_FIPS var only (line 126) with explicit comment that Alpine OpenSSL is not FIPS-certified — must NOT be set on Alpine — v5 crash risk averted.",2026-05-25,infra-subagent
8,./docker-compose.elk.yml,PRODUCTION_READY_INFRA,./docker-compose.elk.yml:1-73,"All images pinned (elasticsearch/logstash/kibana :8.11.0); ELASTICSEARCH_PASSWORD uses :? fail-closed at line 8 and line 53; xpack.security.enabled=true; healthchecks on all 3 services.",2026-05-25,infra-subagent
9,./docker-compose.prod.yml,PRODUCTION_READY_INFRA,./docker-compose.prod.yml:1-161,"IMAGE_TAG enforced via :? (line 13 — no :latest); nginx pinned 1.27-alpine; secrets injected via _FILE pattern from /run/secrets/* (lines 36-58); healthchecks/resource limits/restart policies all set; logging config rotated (10m/3 files).",2026-05-25,infra-subagent
10,./docker-compose.security.yml,PRODUCTION_READY_INFRA,./docker-compose.security.yml:1-179,"All images pinned (falco:0.38.0, falcosidekick:2.28.0, prometheus:v2.48.0, alertmanager:v0.26.0, grafana:10.2.2); GRAFANA_USER/GRAFANA_ADMIN_PASSWORD/ELASTICSEARCH_PASSWORD use :? fail-closed (lines 60, 138, 139); SLACK_WEBHOOK_URL :- empty default acceptable (optional); healthchecks present.",2026-05-25,infra-subagent
11,./docker-compose.yml,PRODUCTION_READY_INFRA,./docker-compose.yml:1-321,"All images pinned (postgres:16-alpine, redis:7-alpine, dpage/pgadmin4:8.14); ALL security vars use :? fail-closed: POSTGRES_PASSWORD, REDIS_PASSWORD, JWT_SECRET, JWT_REFRESH_SECRET, ENCRYPTION_KEY, PGADMIN_PASSWORD (lines 22, 50, 122, 124, 126, 277); profile separation (default/production/tools); healthchecks on all critical services.",2026-05-25,infra-subagent
12,./infrastructure/monitoring/alert_rules.yml,PRODUCTION_READY_INFRA,./infrastructure/monitoring/alert_rules.yml:1-244,"Prometheus alert rules YAML — no credentials, no fail-open defaults, covers security/app/db/infra/compliance alert categories with SLO-based thresholds.",2026-05-25,infra-subagent
13,./infrastructure/monitoring/alertmanager.yml,PRODUCTION_READY_INFRA,./infrastructure/monitoring/alertmanager.yml:1-143,"Alertmanager config; SLACK_WEBHOOK_URL and PAGERDUTY_SERVICE_KEY referenced as env-substituted ${VAR} placeholders (lines 6, 67, 103) — no defaults, no literals. Inhibit rules and severity routing configured.",2026-05-25,infra-subagent
14,./infrastructure/monitoring/prometheus.yml,PRODUCTION_READY_INFRA,./infrastructure/monitoring/prometheus.yml:1-69,"Prometheus scrape config; only env var ${ENVIRONMENT:-production} which is a non-security label default. No credentials. Targets internal service names.",2026-05-25,infra-subagent
15,./infrastructure/secrets/secrets-rotation.yaml,MINOR_INFRA_HYGIENE,./infrastructure/secrets/secrets-rotation.yaml:1-212,"AWS CloudFormation secrets-rotation template; DatabaseSecret/Gemini/Stripe/SendGrid all use literal 'PLACEHOLDER_CHANGE_ME' in SecretString (lines 88, 148, 164-166, 181) as bootstrap values — rotation lambda overwrites on first run. Standard CFN pattern but the literal string is a low-severity hygiene smell; document expectation that rotation lambda must run before app startup.",2026-05-25,infra-subagent
16,./infrastructure/security/falco/complyeasy_rules.yaml,PRODUCTION_READY_INFRA,./infrastructure/security/falco/complyeasy_rules.yaml:1-304,"Custom Falco runtime security rules — macros, lists, container/file/network/process/privilege/compliance rules. No credentials, no fail-open defaults.",2026-05-25,infra-subagent
17,./infrastructure/security/falco/docker-compose.falco.yml,PRODUCTION_READY_INFRA,./infrastructure/security/falco/docker-compose.falco.yml:1-109,"Falco compose; all images pinned (falco:0.37.0, falcosidekick:2.28.0, falco-exporter:0.8.3); SLACK_SECURITY_WEBHOOK_URL and SMTP_* use :- empty defaults (optional integrations, acceptable per v9 rule); healthchecks present.",2026-05-25,infra-subagent
18,./infrastructure/security/falco/falco.yaml,MINOR_INFRA_HYGIENE,./infrastructure/security/falco/falco.yaml:86-91,"webserver block has ssl_enabled: false on port 8765 — but endpoint is k8s_healthz only (/healthz), bound for in-cluster probes; no secrets, no defaults. Minor: ideally enable TLS even for healthz, but standard Falco recommendation.",2026-05-25,infra-subagent
19,./logstash/config,NOT_INFRA_FILE,./logstash/config:directory-listing,"Directory entry, not a file (contains logstash.yml which is checked separately in row 20).",2026-05-25,infra-subagent
20,./logstash/config/logstash.yml,PRODUCTION_READY_INFRA,./logstash/config/logstash.yml:1-4,"Minimal logstash config: http.host 0.0.0.0 (intentional for container), xpack monitoring pointing to internal elasticsearch service. No credentials, no defaults.",2026-05-25,infra-subagent
21,./logstash/pipeline,NOT_INFRA_FILE,./logstash/pipeline:directory-listing,"Directory entry, not a file (contains logstash.conf which is checked separately in row 22).",2026-05-25,infra-subagent
22,./logstash/pipeline/logstash.conf,PRODUCTION_READY_INFRA,./logstash/pipeline/logstash.conf:1-61,"Logstash pipeline; ELASTICSEARCH_PASSWORD uses :? fail-closed (line 52); http input on 5044; geoip filter; elasticsearch output with user/password. No literals, no fail-open.",2026-05-25,infra-subagent
23,./nginx/default.conf,PRODUCTION_READY_INFRA,./nginx/default.conf:1-146,"TLS 1.2/1.3 only; FIPS-compliant cipher list (no CHACHA20); HSTS 1y preload; CSP with frame-ancestors none; X-Frame-Options DENY; OCSP stapling; HTTP->HTTPS 301; deny hidden files. No defaults, no credentials.",2026-05-25,infra-subagent
24,./nginx/nginx.conf,PRODUCTION_READY_INFRA,./nginx/nginx.conf:1-50,"server_tokens off (hides version); gzip configured; client_max_body_size 50m; access/error logs to stderr/stdout. No secrets, no defaults.",2026-05-25,infra-subagent
25,./server/docker/opa/Dockerfile,PRODUCTION_READY_INFRA,./server/docker/opa/Dockerfile:1-13,"FROM openpolicyagent/opa:0.71.0 pinned; non-root USER 1001 (line 7); HEALTHCHECK present on :8181/health (line 10); no hardcoded secrets.",2026-05-25,infra-subagent
26,./server/docker/opa/docker-compose.yml,PRODUCTION_READY_INFRA,./server/docker/opa/docker-compose.yml:1-56,"OPA compose with primary + replica; both built from pinned Dockerfile; healthchecks on both (line 17-22, 39-44); no env secrets, no fail-open defaults; volumes named (opa-data).",2026-05-25,infra-subagent
