site_number,file,line,call_signature,verdict,input_source,wrapper_call_line,evidence_quote,severity,verified_at,verified_by
1,server/src/middleware/rateLimiter.ts,59,apiLimiter = rateLimit,LIMIT_APPROPRIATE_VERIFIED,general API mounted on ~70 routes,server/src/middleware/rateLimiter.ts:59,100/15min = 6.67/min/IP (well under 60/min write ceiling),NONE,2026-05-28T15:55:00Z,subagent-cov7-2
2,server/src/middleware/rateLimiter.ts,69,frameworkLimiter = rateLimit,GAP_LOW,general API read (/api/frameworks),server/src/middleware/rateLimiter.ts:69,100/10s = 600/min/IP — 2x the 300/min general read ceiling,GAP_LOW,2026-05-28T15:55:00Z,subagent-cov7-2
3,server/src/middleware/rateLimiter.ts,79,authLimiter = rateLimit,LIMIT_APPROPRIATE_VERIFIED,login/2FA/forgot/reset,server/src/middleware/rateLimiter.ts:79,5/15min = 0.33/min/IP — well under 5/min register ceiling,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
4,server/src/middleware/rateLimiter.ts,88,aiLimiter = rateLimit,LIMIT_APPROPRIATE_VERIFIED,AI inference write endpoints,server/src/middleware/rateLimiter.ts:88,10/min/IP — well under 60/min write ceiling,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
5,server/src/middleware/rateLimiter.ts,97,ssoLimiter = rateLimit,LIMIT_APPROPRIATE_VERIFIED,login/SSO callback,server/src/middleware/rateLimiter.ts:97,100/15min = 6.67/min/IP — under 10/min login ceiling,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
6,server/src/middleware/rateLimiter.ts,108,scimLimiter = rateLimit,LIMIT_APPROPRIATE_VERIFIED,SCIM bulk provisioning,server/src/middleware/rateLimiter.ts:108,200/15min = 13.33/min/IP — under 60/min write ceiling,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
7,server/src/blockchain/node_modules/ws/lib/permessage-deflate.js,6,Limiter = require('./limiter'),NOT_APPLICABLE,third-party ws library — zlib concurrency Limiter (not Express),N/A,third-party node_modules code,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
8,server/src/blockchain/node_modules/ws/lib/permessage-deflate.js,70,zlibLimiter = new Limiter(concurrency),NOT_APPLICABLE,zlib worker concurrency control (not Express),N/A,third-party ws library,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
9,server/src/__tests__/security/runPenetrationTest.ts,666,readFileSync rateLimiter.ts,NOT_APPLICABLE,pen-test file-content inspection,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
10,server/src/__tests__/security/runPenetrationTest.ts,667,rateLimiter.includes('authLimiter'),NOT_APPLICABLE,pen-test substring check,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
11,server/src/__tests__/security/runPenetrationTest.ts,1126,readFileSync rateLimiter.ts,NOT_APPLICABLE,pen-test file-content inspection,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
12,server/src/__tests__/security/runPenetrationTest.ts,1135,rateLimiter.includes('apiLimiter'),NOT_APPLICABLE,pen-test substring check,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
13,server/src/__tests__/security/runPenetrationTest.ts,1160,rateLimiter.includes('authLimiter'),NOT_APPLICABLE,pen-test substring check,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
14,server/src/__tests__/security/runPenetrationTest.ts,1185,rateLimiter.includes('aiLimiter'),NOT_APPLICABLE,pen-test substring check,N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
15,server/src/__tests__/security/rate-limiting.contract.test.ts,65,testLimiter = rateLimit,NOT_APPLICABLE,test fixture (not bound to prod endpoint),N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
16,server/src/__tests__/security/rate-limiting.contract.test.ts,134,testAuthLimiter = rateLimit,NOT_APPLICABLE,test fixture (not bound to prod endpoint),N/A,test file,NONE,2026-05-28T15:55:00Z,subagent-cov7-2
