row_number,model_name,has_organizationId_field,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
1,Organization,NO,INTENTIONAL_NO_ORG_ORGANIZATION,server/prisma/schema.prisma:10-235,"model Organization { id String @id @default(...) name String plan Plan @default(Foundation) ... @@index([stripeCustomerId]) @@index([parentOrganizationId]) }",2026-05-25,prisma_rls_chunk_01
2,User,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:237-309,"model User { ... organizationId String ... organization Organization @relation(fields: [organizationId], references: [id], onDelete: Cascade) @@index([email]) @@index([organizationId]) @@index([employeeId]) }",2026-05-25,prisma_rls_chunk_01
3,TwoFactorBackupCode,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:311-322,"model TwoFactorBackupCode { id String ... userId String user User @relation(fields: [userId], references: [id], onDelete: Cascade) @@index([userId]) @@index([code]) }",2026-05-25,prisma_rls_chunk_01
4,Personnel,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:324-347,"model Personnel { ... organizationId String ... organization Organization @relation(fields: [organizationId]...) @@index([organizationId]) @@index([userId]) }",2026-05-25,prisma_rls_chunk_01
5,AccessReview,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:349-368,"model AccessReview { id String ... organizationId String ... @@index([organizationId]) @@index([personnelId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
6,Vendor,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:370-405,"model Vendor { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([riskLevel]) }",2026-05-25,prisma_rls_chunk_01
7,VendorAssessment,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:407-423,"model VendorAssessment { id String ... vendorId String ... vendor Vendor @relation(fields: [vendorId], references: [id], onDelete: Cascade) @@index([vendorId]) }",2026-05-25,prisma_rls_chunk_01
8,VendorReview,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:425-438,"model VendorReview { id String ... vendorId String ... vendor Vendor @relation(fields: [vendorId], references: [id], onDelete: Cascade) @@index([vendorId]) }",2026-05-25,prisma_rls_chunk_01
9,VendorMonitor,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:440-453,"model VendorMonitor { id String ... vendorId String ... vendor Vendor @relation(fields: [vendorId], references: [id], onDelete: Cascade) @@index([vendorId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
10,RiskAssessment,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:455-474,"model RiskAssessment { id String ... organizationId String ... organization Organization @relation(...) @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
11,ComplianceFramework,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:476-499,"model ComplianceFramework { ... organizationId String ... @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
12,FrameworkControl,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:501-525,"model FrameworkControl { id String ... frameworkId String ... framework ComplianceFramework @relation(fields: [frameworkId], references: [id], onDelete: Cascade) @@index([frameworkId]) @@index([ownerId]) }",2026-05-25,prisma_rls_chunk_01
13,RiskItem,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:527-559,"model RiskItem { ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([severity]) @@index([assignedToId]) @@index([assessmentId]) }",2026-05-25,prisma_rls_chunk_01
14,Questionnaire,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:561-582,"model Questionnaire { id String ... organizationId String ... @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
15,QuestionnaireQuestion,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:584-597,"model QuestionnaireQuestion { id String ... questionnaireId String ... questionnaire Questionnaire @relation(fields: [questionnaireId], references: [id], onDelete: Cascade) @@index([questionnaireId]) }",2026-05-25,prisma_rls_chunk_01
16,QuestionnaireResponse,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:599-615,"model QuestionnaireResponse { id String ... questionnaireId String ... questionnaire Questionnaire @relation(fields: [questionnaireId], references: [id], onDelete: Cascade) @@index([questionnaireId]) @@index([questionId]) }",2026-05-25,prisma_rls_chunk_01
17,Policy,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:617-643,"model Policy { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([framework]) }",2026-05-25,prisma_rls_chunk_01
18,TrustCertificate,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:645-663,"model TrustCertificate { id String ... organizationId String ... @@index([organizationId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
19,CustomReport,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:665-684,"model CustomReport { id String ... organizationId String ... @@index([organizationId]) @@index([reportType]) }",2026-05-25,prisma_rls_chunk_01
20,ContinuousMonitor,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:686-709,"model ContinuousMonitor { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([monitorType]) }",2026-05-25,prisma_rls_chunk_01
21,MonitorResult,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:711-726,"model MonitorResult { id String ... monitorId String ... monitor ContinuousMonitor @relation(fields: [monitorId], references: [id], onDelete: Cascade) @@index([monitorId]) @@index([status]) }",2026-05-25,prisma_rls_chunk_01
22,Issue,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:728-759,"model Issue { id String ... organizationId String ... @@index([organizationId]) @@index([status]) @@index([priority]) @@index([assignedToId]) }",2026-05-25,prisma_rls_chunk_01
23,IssueComment,NO,INTENTIONAL_NO_ORG_USER,server/prisma/schema.prisma:761-770,"model IssueComment { id String ... issueId String ... issue Issue @relation(fields: [issueId], references: [id], onDelete: Cascade) @@index([issueId]) }",2026-05-25,prisma_rls_chunk_01
24,AuditLog,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:772-795,"model AuditLog { id String ... organizationId String ... @@index([organizationId]) @@index([timestamp]) @@index([hash]) @@index([action]) @@index([resourceType]) @@index([userId]) }",2026-05-25,prisma_rls_chunk_01
25,Integration,YES,ORG_FIELD_PRESENT_AND_INDEXED,server/prisma/schema.prisma:797-815,"model Integration { id String ... organizationId String ... @@unique([organizationId, provider]) @@index([organizationId]) }",2026-05-25,prisma_rls_chunk_01
26,MagicLink,NO,INTENTIONAL_NO_ORG_SYSTEM,server/prisma/schema.prisma:817-828,"model MagicLink { id String ... email String token String @unique expiresAt DateTime used Boolean @default(false) ... @@index([email]) @@index([token]) @@index([expiresAt]) }",2026-05-25,prisma_rls_chunk_01
