file,scanner_org_flag,scanner_lines,scanner_bare_errors,scanner_empty_catches,scanner_console_logs,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
server/src/services/advanced/acosService.ts,MIXED_ORG,2359,0,0,0,PRODUCTION_READY,server/src/services/advanced/acosService.ts:1-2359,"AppError imported L18 with 36 refs; zero bare throw new Error; zero empty catches (every catch logs via logger.error/warn then throws or returns); zero console.* logs; L7 already classified per-op org coverage; hygiene clean",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/agenticAIService.ts,MIXED_ORG,1474,0,0,0,PRODUCTION_READY,server/src/services/advanced/agenticAIService.ts:1-1474,"AppError imported L15 with 21 refs (e.g. L82/L131/L140/L189/L233/L429/L803); every catch block logs via logger.error then throws/returns; zero empty catches; zero console.* logs; defense-in-depth org pre-checks at L799-803/L1010-1014/L1028-1032",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/bayesian/bayesianNetwork.ts,NO_WRITES,260,6,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/bayesian/bayesianNetwork.ts:1-260,"Pure math library (Bayesian network inference); 6 throw new Error are domain-validation guards (L41-43 CPT size, L46 alpha/beta length, L72 unknown parent, L91 cycle, L110 unknown query, L243 unknown node) — MATH_LIBRARY_PRECONDITION_NOT_GAP per CLAUDE.md v13 F11 exception (services/advanced/bayesian/ exempt)",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,MIXED_ORG,370,0,0,0,PRODUCTION_READY,server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts:1-370,"Single buildKnowledgeGraph function scoped by organizationId param; all prisma reads/upserts filter by organizationId (L62/L66/L70/L74/L194/L209/L263/L301); uses logger; no bare throw new Error; no empty catches; no console.* logs; writes wrapped in prisma.$transaction",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/blockchainService.ts,MIXED_ORG,2712,0,0,0,PRODUCTION_READY,server/src/services/advanced/blockchainService.ts:1-2712,"AppError imported L44 with 57 refs; FIPS boundary documented L13-37; all 'empty' catches have side effects (L757-759 returns false in filter; L921-923 returns null in map; L2147 cleanup with comment per v13 E1; L2372 logger.warn; L2523 increments failedCount; L2668/L2679/L2698 sets connected=false in health check) — none truly empty",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/byokService.ts,MIXED_ORG,1251,0,0,0,PRODUCTION_READY,server/src/services/advanced/byokService.ts:1-1251,"AppError refs:44; isUrlSafe SSRF protection at L177 for HashiCorp Vault URLs; URL_VALIDATORS:2 confirmed (L177 + provider env checks); catch blocks at L695 (re-parses if not JSON file path), L848/L868 (verifyKeyAccess returns false), L1149 (audit log failure has comment 'Don't fail the loop on audit log errors') — all intentional cleanup/fallback patterns",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/complianceAsCodeService.ts,MIXED_ORG,1313,0,0,0,PRODUCTION_READY,server/src/services/advanced/complianceAsCodeService.ts:1-1313,"AppError imported L13 with 25 refs; 7 outbound HTTP calls (OPA at env-configured opaEndpoint L75 + GitHub/GitLab CI status APIs L565/L608) all to known-safe endpoints; webhook signature HMAC-SHA256 verified L450-486; L1190 .catch(() => {logger.warn(...)}) is not empty (logs); zero console.* logs",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/complianceDigitalTwinService.ts,MIXED_ORG,1547,0,0,0,PRODUCTION_READY,server/src/services/advanced/complianceDigitalTwinService.ts:1-1547,"AppError imported L13 with 3 refs (L1157/L1186); every catch logs via logger.error/warn; zero empty catches; zero console.* logs; simulation writes scoped via organizationId param (e.g. L189-198 simulationScenario.create includes organizationId; L222-235 simulationResult.create includes organizationId)",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/deepfakeDetectionService.ts,ZERO_ORG,1073,0,2,0,PRODUCTION_READY,server/src/services/advanced/deepfakeDetectionService.ts:1-1073,"ML inference service operating on file buffers (no DB writes); WRITE_OPS are crypto.createHash + Map.delete (in-memory cache cleanup); 2 'empty' catches: L141 logs via logger.info (not empty); L1023 'Skip frame' comment + L1021/L1028 .catch(() => {}) on unlinkFile cleanup — INTENTIONAL_FIRE_AND_FORGET per CLAUDE.md v13 E1",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/dp/budgetLedger.ts,ALL_ORG_SCOPED,159,0,0,0,PRODUCTION_READY,server/src/services/advanced/dp/budgetLedger.ts:1-159,"Differential privacy budget ledger; all functions take organizationId param (loadCumulativeRdp L46/checkBudget L68/commitSpend L103/getCurrentSpend L148); privacyBudgetLedger.create at L119 includes organizationId in data payload; uses logger; zero bare throw new Error; zero empty catches; zero console.* logs",2026-05-25T00:00:00Z,service_chunk_01
server/src/services/advanced/dp/byzantineRobust.ts,NO_WRITES,263,4,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/dp/byzantineRobust.ts:1-263,"Pure math library — 4 throw new Error() are precondition guards (e.g., L53 'Krum requires at least one update'). Per CLAUDE.md v13 F11 exception, math libs in services/advanced/dp/ may use bare Error for domain validation. No DB writes, no logger usage needed.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/dp/rdpAccountant.ts,NO_WRITES,245,3,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/dp/rdpAccountant.ts:1-245,"Pure RDP math library — bare Error throws at L136/138/212 are precondition guards ('delta must be in (0,1)'). Allowed per CLAUDE.md v13 F11 dp/ exception. No DB writes, no logger needed.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/dp/scaffold.ts,NO_WRITES,133,2,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/dp/scaffold.ts:1-133,"SCAFFOLD aggregation math library — 2 bare Error throws at L60/66 are dimension/empty validation guards. Allowed per CLAUDE.md v13 F11 dp/ exception. No DB writes.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/dp/secretSharing.ts,ZERO_ORG,187,1,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/dp/secretSharing.ts:1-187,"Bonawitz HKDF secret-sharing — L48/L55 'write ops' flagged by scanner are crypto.createHmac().update() calls (HMAC state mutations) NOT DB writes. 1 bare Error at L69 is seed-length guard. Allowed per CLAUDE.md v13 F11 dp/ exception. No DB, no logger.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/evidenceTruthLayerService.ts,MIXED_ORG,2702,0,3,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/evidenceTruthLayerService.ts:1-2702,"Uses AppError + logger.error/warn consistently. The 3 empty catches (L900 metric increment, L981 metric labels, L2417 metric inc) are all intentional fire-and-forget for optional metrics emission with '// metrics optional' comments. The 6 'NO_ORG' writes are crypto hash calls (L548/582/608/824/2465) not DB writes — only L827/L958 are auditLog.create with implied org context from caller.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/federatedSwarmService.ts,MIXED_ORG,2894,0,0,0,PRODUCTION_READY,server/src/services/advanced/federatedSwarmService.ts:1-2894,"Zero bare Errors (uses AppError throughout), zero empty catches (L846 returns sentinel value; L2387 'skip malformed updates' is intentional loop-skip filter), zero console.logs. Consistent logger.error/warn/info usage. The 10 'NO_ORG' writes flagged by L7 are auditLog.create where organizationId is passed at function scope but L7 detection missed it in nested data field.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/graphNeuralNetworkService.ts,NO_WRITES,2819,0,0,0,PRODUCTION_READY,server/src/services/advanced/graphNeuralNetworkService.ts:1-2819,"Zero bare Errors, zero empty catches (multiple catches use logger.warn/debug or are intentional fallbacks for tf backend/graph neighbor operations). Zero console.logs. Pure ML/inference service — no DB writes by design. Uses AppError for required input validation (L1396).",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/homomorphicAIService.ts,ALL_ORG_SCOPED,1309,0,0,0,PRODUCTION_READY,server/src/services/advanced/homomorphicAIService.ts:1-1309,"Zero bare Errors (24 AppError refs throughout SEAL initialization paths), zero empty catches (L1219 catch is implicit-no-op for non-critical context preflight check). All 3 writes (L1017, L1164) are auditLog.create with explicit organizationId param. Consistent logger.error/warn/debug. Some catches log error but don't re-throw (L1030, L1207) for non-critical audit metadata storage.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/jitAccessService.ts,MIXED_ORG,1230,0,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/jitAccessService.ts:1-1230,"Zero bare Errors (only AppError used), zero empty catches (parseError continue patterns at L489/525/630/741/1062 are intentional malformed-log skip loops). Consistent logger usage. The 3 'NO_ORG' writes from L7: L367 (Map.delete - in-memory session, NOT DB), L941/967 (prisma.user.update without orgId filter — legitimate L7 concern, but pre-validated through approver.role check earlier; tenant scoping enforced via approval flow).",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/ldapPermissionService.ts,ZERO_ORG,1492,0,0,0,PRODUCTION_READY,server/src/services/advanced/ldapPermissionService.ts:1-1492,"All 8 'unscoped writes' flagged by scanner are Map.delete() calls on in-memory caches (pendingResponses, roleMappings, permissionCache, userCache) — NOT Prisma DB writes. This service makes ZERO Prisma calls; persists nothing to DB. Uses AppError + logger throughout. The 3 'bare Error' refs (L228/L331/L599) are inside LDAP protocol layer, caught by service-level AppError. No empty catches; no console.logs. L850 graceful-degradation comment confirms acceptable offline mode.",2026-05-25T00:00:00Z,service_chunk_02
server/src/services/advanced/livenessDetectionService.ts,ZERO_ORG,1134,0,2,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/livenessDetectionService.ts:1-1134,"Two parameterless catch blocks (L481 detectFaceLandmarks returns null fallback; L1039 classifySpoofType returns 'video_replay' fallback). All other catches use logger.error/warn + AppError. 3 writes are in-memory Map.delete (not DB).",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/mlModelsService.ts,ALL_ORG_SCOPED,1406,0,0,0,PRODUCTION_READY,server/src/services/advanced/mlModelsService.ts:1-1406,"All catches use logger.error + throw error or graceful fallback. 6 AppError refs. Both prisma.auditLog.create writes include organizationId (L1033 L1137). No console.logs.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/mqttService.ts,MIXED_ORG,385,0,0,0,PRODUCTION_READY,server/src/services/advanced/mqttService.ts:1-385,"Clean error handling throughout. 'new Error()' refs at L88/L102 are Promise reject() callbacks (correct usage). 3 AppError uses. All 6 catches use logger.error. Multi-tenant writes via deviceId-only lookup (L7's concern).",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/multimodalIntakeService.ts,ALL_ORG_SCOPED,2207,0,19,0,SCANNER_COUNTS_INACCURATE,server/src/services/advanced/multimodalIntakeService.ts:1-2207,"Scanner reports 19 empty catches but ALL 19 are .catch(() => {}) attached to unlink() temp-file cleanup (fire-and-forget per CLAUDE.md v13 E1 exception). Effective hygiene gaps: 0. Verified via grep .catch(()=>{}). No bare Errors, no console.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/neuroSymbolicAIService.ts,MIXED_ORG,1847,0,0,0,PRODUCTION_READY,server/src/services/advanced/neuroSymbolicAIService.ts:1-1847,"Clean: every catch block uses logger.error/warn. 3 AppError uses. 37 org refs. Only NO_ORG write is in-memory Map cache delete (L1835). storeReasoningResult and storeRuleInferences both include organizationId.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/physicalAIService.ts,MIXED_ORG,3193,0,0,0,PRODUCTION_READY,server/src/services/advanced/physicalAIService.ts:1-3193,"All catches use logger.error/warn. 12 AppError uses. 'new Error(Timeout)' at L2376/L2440 are Promise reject() callbacks. SSRF concerns mitigated via IP validation regex (L2408-2411) + spawn-with-array-args (L2428). 3 axios calls use env-controlled URLs.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/redTeamService.ts,MIXED_ORG,1655,0,0,0,PRODUCTION_READY,server/src/services/advanced/redTeamService.ts:1-1655,"Clean error handling: every catch uses logger.error + throw. throw new AppError('TIMEOUT', 408) at L119 is intentional. No console.logs. 2 AppError refs. Catch on L424 (evidence JSON parse) explicitly comments graceful fallback.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/regulatoryIntelligenceFabricService.ts,MIXED_ORG,3365,0,0,0,MINOR_HYGIENE_ISSUES,server/src/services/advanced/regulatoryIntelligenceFabricService.ts:1-3365,"18 AppError uses; 10 URL_VALIDATORS (SSRF). 2 silent try{JSON.parse}catch(e){} at L1425/L2983 skip invalid audit logs (reasonable but undocumented). 2 .catch(()=>{}) on audit log writes (L255/L1730) - fire-and-forget. No bare Errors, no console.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/swarmTaskAllocationService.ts,MIXED_ORG,2122,0,0,0,PRODUCTION_READY,server/src/services/advanced/swarmTaskAllocationService.ts:1-2122,"All catches use logger.error/warn + throw or graceful return. 9 AppError refs. 74 org refs. Many NO_ORG writes are in-memory Map deletes (activeTasks.delete). Audit log writes properly scoped via task.organizationId. Logged warning at init about in-memory state.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/temporalGraphNetworkService.ts,MIXED_ORG,1713,0,0,0,PRODUCTION_READY,server/src/services/advanced/temporalGraphNetworkService.ts:1-1713,"Clean error handling: all catches use logger.error/warn. 2 AppError refs. 59 org refs. Silent try{}catch(e){} at L1063/L1088 skip JSON parse errors with neutral fallback. All prisma writes include organizationId. No console.logs.",2026-05-25T00:00:00Z,service_chunk_03
server/src/services/advanced/vrCollaborativeReviewService.ts,MIXED_ORG,3938,0,0,0,PRODUCTION_READY,server/src/services/advanced/vrCollaborativeReviewService.ts:1-3938,"AppError imported at L15 with 44 refs; zero bare throw new Error; zero empty catches; zero console.* logs; reads scoped via where:{organizationId} (L2043-2052); L7 already covers writes",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/advanced/webrtcSignalingService.ts,ZERO_ORG,1820,0,0,0,PRODUCTION_READY,server/src/services/advanced/webrtcSignalingService.ts:1-1820,"WebRTC signaling is session-scoped (sessionId/peerId) not org-scoped by design; zero bare throw new Error; zero empty catches; zero console.* logs; all writes are Map.delete on in-memory peer/session state (LOW criticality per O3)",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/advanced/whisperService.ts,MIXED_ORG,829,0,4,0,PRODUCTION_READY,server/src/services/advanced/whisperService.ts:1-829,"All 4 empty catches are fire-and-forget temp-file cleanup (L182/L327/L328/L471: 'await unlink(tempFilePath).catch(() => {})') — INTENTIONAL_FIRE_AND_FORGET per CLAUDE.md v13 E1; zero bare throw; AppError refs:11; logger used extensively",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/advanced/zeroKnowledgeService.ts,MIXED_ORG,639,0,0,0,PRODUCTION_READY,server/src/services/advanced/zeroKnowledgeService.ts:1-639,"ZK proof crypto service; zero bare throw (AppError refs:9); zero empty catches; zero console.* logs; NO_ORG writes are crypto hash operations (sha256/hmac update) not DB writes; auditLog write at L574 includes orgId",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/advanced/zeroTrustService.ts,MIXED_ORG,1369,0,0,0,PRODUCTION_READY,server/src/services/advanced/zeroTrustService.ts:1-1369,"AppError imported at L15 used at L202/L287/L960; zero empty catches; zero console.* logs; outbound HTTP to abuseipdb/virustotal (L524/L574) are hardcoded safe URLs; deviceTrust.upsert at L1146 includes orgId per data payload",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/aiRmfService.ts,MIXED_ORG,1536,0,0,0,PRODUCTION_READY,server/src/services/aiRmfService.ts:1-1536,"AppError refs:58 used consistently (e.g. L262 'throw new AppError(...500)'); zero bare throw new Error; zero empty catches; zero console.* logs; writes guarded by org-scoped pre-checks via getAISystemById(orgId, aiSystemId)",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/auditorService.ts,MIXED_ORG,1338,0,0,0,PRODUCTION_READY,server/src/services/auditorService.ts:1-1338,"AppError refs:20 (e.g. L461 L488); zero empty catches; zero console.* logs; 91 org refs; NO_ORG writes preceded by findFirst({where:{id,organizationId}}) verification (e.g. L484-486 before delete L491)",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/aws/s3ClientV3.ts,ZERO_ORG,421,0,0,0,PRODUCTION_READY,server/src/services/aws/s3ClientV3.ts:1-421,"S3 wrapper utility; AppError refs:13; zero empty catches; zero console.* logs; fileUpload.create at L213 and delete at L318 receive orgId via UploadOptions param; deleteFileById verifies orgId match (L307 signature)",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/aws/secretsManagerService.ts,ZERO_ORG,492,0,0,0,PRODUCTION_READY,server/src/services/aws/secretsManagerService.ts:1-492,"AWS Secrets Manager wrapper (infrastructure-scoped not org-scoped by design); AppError refs:5; zero empty catches; zero console.* logs; single 'write' at L464 is in-memory cache.delete",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/cache/redisCacheService.ts,ZERO_ORG,682,0,0,0,PRODUCTION_READY,server/src/services/cache/redisCacheService.ts:1-682,"Redis cache wrapper (infrastructure-scoped not org-scoped by design — namespacing via 'complyeasy' prefix); zero bare throw new Error; zero empty catches; zero console.* logs; all 10 writes are in-memory Map.delete on cache/tagIndex",2026-05-25T00:00:00Z,service_chunk_04
server/src/services/dataAnonymizationService.ts,ZERO_ORG,121,0,0,0,PRODUCTION_READY,server/src/services/dataAnonymizationService.ts:1-121,"Uses AppError for env-config check (L27); pseudonymize() is pure HMAC transform — the only 'write_op' L35 is hmac.update (not DB); no catches, no console, 2 AppError refs. Service has no DB writes, so ZERO_ORG flag is N/A.",2026-05-25T00:00:00Z,service_chunk_05
